from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,62,40.4612,-71.3012,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,63,40.4569,-71.555,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,64,40.4556,-71.6331,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,65,40.4532,-71.7986,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,66,40.5352,-73.0277,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,67,40.6,-74.0,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,68,40.6061,-74.0456,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,69,40.6143,-74.0494,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,70,40.6285,-74.0561,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,71,40.6465,-74.0631,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,72,40.6676,-74.0488,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,73,40.6759,-74.0829,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,0,53.55088,8.548876,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,1,53.5589,8.5367,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,2,53.9,8.25,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,3,54.288,7.1488,6675.9321
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,BALTIMORE,7c9f6b30-134a-f7e5-bba0-3cd15a9de651,USBAL,-76.58681,39.254,4,54.7649,5.7952999999999975,6675.9321
